ID,Key,AuthorID,Name,01.май,Дата обновления,Статус,Трудоемкость исходная,Трудоемкость потраченная,Трудоемкость остаток,Исполнитель,КЭ,Проектная область,Релиз,Severity,Спринт,PullRequest,Release,Epic
31,MR-31,5,Aliquam erat volutpat. Sed hendrerit. Praesent vestibulum dapibus nibh. M,30-May,8-Jun,5,5,5,0,3,3,MR,5,0,3,31,8,4
33,MR-33,5,Donec pede justo  fringilla vel  a,2-Jun,9-Jun,5,10,9,0,3,1,MR,5,1,3,33,9,3
35,MR-35,5,Proin viverra  ligula sit amet ultrices semper  ligula arcu tristique,4-Jun,7-Jun,5,10,9,0,2,1,MR,5,0,3,35,9,1
37,MR-37,2,Phasellus a est. Nulla sit amet est. Pellen,5-Jun,12-Jun,5,5,5,0,3,1,MR,5,0,3,37,9,3
39,MR-39,5,Phasellus accumsan cursus velit. Vivamus aliquet elit ac nisl. Proin magna. Phasellus ac,8-Jun,11-Jun,5,3,3,0,3,1,MR,5,0,3,39,9,1
41,MR-41,4,Suspendisse eu ligula. Curabitur,9-Jun,15-Jun,5,5,5,0,3,1,MR,5,0,3,41,9,5
43,MR-43,5,Proin viverra  ligula sit amet ultrices semper  ligula,11-Jun,16-Jun,5,7,6,0,3,1,MR,6,0,5,43,9,5
45,MR-45,1,Nam ipsum risus  rutrum vitae  vestibulum eu  molest,14-Jun,17-Jun,5,9,8,0,2,1,MR,6,0,5,45,9,3
47,MR-47,5,Fusce pharetra convallis urna. Pellentesque p,15-Jun,19-Jun,5,9,8,0,1,1,MR,6,0,5,47,9,3
49,MR-49,3,Duis arcu tortor  suscipit eg,17-Jun,26-Jun,5,6,5,0,3,1,MR,6,0,5,49,9,4
51,MR-51,1,Ut tincidunt tincidunt erat. Phasellus viverra nulla ut metus varius laoreet. P,20-Jun,29-Jun,5,6,5,0,1,1,MR,6,1,5,51,9,6
53,MR-53,2,Suspendisse enim turpis  dictum sed  iaculis a  condimentum nec  nisi. Na,22-Jun,24-Jun,5,4,4,0,3,1,MR,6,0,5,53,9,6
55,MR-55,5,Curabitur ullamcorper ultricies nisi. Sed magna purus  fermentum eu  tincidunt,23-Jun,26-Jun,5,4,4,0,2,1,MR,6,0,5,55,9,4
57,MR-57,3,Aenean leo ligula  porttitor eu  consequa,24-Jun,29-Jun,5,4,4,0,3,1,MR,6,0,5,57,9,6
59,MR-59,2,Etiam iaculis nunc ac metus. Donec elit libero  sodales nec  volutpat a  suscipit non  turpis. Prae,26-Jun,1-Jul,5,4,4,0,1,1,MR,6,1,5,59,9,4
61,MR-61,4,Pellentesque ut neque. Vestibulum fringilla pede sit a,27-Jun,6-Jul,5,3,3,0,3,1,MR,6,0,5,61,9,3
63,MR-63,3,Suspendisse non nisl sit amet velit hendrerit rutrum. Cras,28-Jun,4-Jul,5,9,8,0,3,1,MR,6,0,5,63,9,7
65,MR-65,3,Vestibulum suscipit nulla quis orci. In auctor lobortis lacus. Nulla sit amet est. Cras non dol,29-Jun,1-Jul,5,7,6,0,3,1,MR,7,1,7,65,9,7
67,MR-67,5,Aenean tellus metus  bibendum sed  posuere ac  mattis non  nunc. Nullam nulla eros  ultric,1-Jul,3-Jul,5,9,8,0,3,1,MR,7,0,7,67,9,7
69,MR-69,2,Aenean imperdiet. Donec e,4-Jul,6-Jul,5,6,5,0,3,1,MR,7,1,7,69,9,3
71,MR-71,3,Cras sagittis. Vestibulum ullamcorper mauris at ligula. Cras ultricies mi eu turpis hendr,7-Jul,16-Jul,5,9,8,0,3,1,MR,7,0,7,71,9,3
73,MR-73,4,Phasellus viverra nulla ut metus varius laoreet. Vestibulu,9-Jul,13-Jul,5,10,9,0,2,4,MR,7,1,7,73,10,4
75,MR-75,5,Vivamus euismod mauris. Vestibulum eu odi,10-Jul,17-Jul,5,3,3,0,1,4,MR,7,0,7,75,10,4
77,MR-77,2,Class aptent taciti sociosqu ad litora torquent per conubia nostra,13-Jul,20-Jul,5,1,1,0,2,4,MR,7,0,7,77,10,3
79,MR-79,2,Nam pretium turpis et arcu. Donec interdum  metus et hendrerit alique,15-Jul,17-Jul,5,1,1,0,1,4,MR,7,0,7,79,10,4
81,MR-81,4,Pellentesque habitant morbi,18-Jul,24-Jul,5,2,2,0,1,4,MR,7,1,7,81,10,4
83,MR-83,5,Vestibulum volutpat pretium libero. Nullam cursus lacinia erat. Morbi vestibulum volutpat enim,19-Jul,29-Jul,5,2,2,0,1,4,MR,7,0,7,83,10,7
85,MR-85,1,In auctor lobortis lacus. Etiam feugiat lo,21-Jul,22-Jul,5,10,9,0,3,4,MR,7,0,7,85,10,4
87,MR-87,2,Praesent ac sem eget est egestas volutpat. Ut non enim eleifend felis pretium feugiat. In dui magn,24-Jul,31-Jul,5,5,5,0,1,1,MR,7,1,9,87,11,5
89,MR-89,1,Nullam cursus lacinia erat. Aenean viver,26-Jul,2-Aug,5,7,6,0,1,1,MR,7,0,9,89,11,6
91,MR-91,2,Maecenas nec odio et ante tincidunt tempus. Quisque ut n,28-Jul,31-Jul,5,9,8,0,2,1,MR,7,1,9,91,11,4
93,MR-93,2,Fusce a quam. Fusce egestas elit eget lorem.,29-Jul,4-Aug,5,1,1,0,1,1,MR,7,0,9,93,11,4
95,MR-95,3,Nulla facilisi. Fusce vulputate eleifend sapien. Curabitur ve,1-Aug,11-Aug,5,6,5,0,3,1,MR,7,1,9,95,11,5
97,MR-97,3,Phasellus leo dolor  tempus non  auctor et  he,3-Aug,12-Aug,5,10,9,0,2,1,MR,7,0,9,97,11,5
99,MR-99,5,Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. S,6-Aug,7-Aug,5,4,4,0,3,1,MR,7,0,9,99,11,3
101,MR-101,5,Donec quam felis  ultricies nec  pellentesque eu  pretium quis  sem. Eti,7-Aug,13-Aug,5,5,5,0,2,1,MR,8,0,9,101,11,9
103,MR-103,3,Cras dapibus. Curabitur ullamcorper ultricies nisi. Duis leo. Phasellus gravida semper nis,9-Aug,17-Aug,5,10,9,0,3,1,MR,8,1,9,103,11,10
105,MR-105,1,Sed cursus turpis vitae tortor. Integer ante arcu  accumsan a,10-Aug,15-Aug,5,5,5,0,2,1,MR,8,0,9,105,11,8
107,MR-107,5,Donec sodales sagittis magna. Ut varius tincidunt libero. Quisque id odio. Null,13-Aug,21-Aug,5,7,6,0,1,1,MR,8,0,9,107,11,6
109,MR-109,3,Sed in libero ut nibh placerat,15-Aug,18-Aug,5,3,3,0,2,1,MR,8,0,9,109,11,10
111,MR-111,4,Vestibulum rutrum  mi nec ele,17-Aug,18-Aug,5,5,5,0,3,1,MR,8,1,9,111,11,10
113,MR-113,4,Praesent metus tellus  elementum eu  semper a  adipiscing,18-Aug,28-Aug,5,7,6,0,2,1,MR,8,0,9,113,11,9
115,MR-115,5,In hac habitasse platea dictumst. Nulla porta dolor. Suspendisse feugiat. Morbi vestibulum volutpat,20-Aug,22-Aug,5,8,7,0,2,1,MR,8,1,9,115,11,8
117,MR-117,3,Vestibulum ullamcorper mauris a,23-Aug,25-Aug,5,2,2,0,3,2,MR,8,0,11,117,12,9
119,MR-119,1,Ut varius tincidunt libero. Nullam sagittis. Praesent ut ligula no,25-Aug,28-Aug,5,6,5,0,2,2,MR,8,0,11,119,12,8
121,MR-121,3,Nulla facilisi. Proin magna. Ut a nisl id ante tempus hendrerit. Praesent blandit laoreet n,26-Aug,4-Sep,5,3,3,0,3,2,MR,8,1,11,121,12,8
123,MR-123,3,Suspendisse potenti. Praesent vestibulum dapib,27-Aug,28-Aug,4,3,3,2,1,2,MR,8,0,11,123,12,8
125,MR-125,5,Nullam dictum felis eu pede mollis pretium. Quisque id mi. Pellentesque egestas  neque,28-Aug,3-Sep,4,1,1,0,1,2,MR,8,1,11,125,12,9
127,MR-127,2,Class aptent taciti sociosqu ad litora torquent per conubia nostra  per inceptos h,29-Aug,1-Sep,4,7,6,5,2,2,MR,8,1,11,127,12,10
129,MR-129,1,Pellentesque ut neque. Suspendisse eu ligula. Donec interdum  metus et hendrerit aliquet  dolor,30-Aug,1-Sep,4,1,1,0,2,2,MR,9,1,11,129,12,7
131,MR-131,1,Phasellus accumsan cursus velit. Etiam sit amet orci eget eros faucibus tincidunt. Done,31-Aug,8-Sep,4,9,8,6,1,2,MR,9,1,11,131,12,10
133,MR-133,4,Duis leo. Class aptent taciti sociosqu ad litora torquent p,1-Sep,5-Sep,4,3,3,1,1,2,MR,9,1,11,133,12,8
135,MR-135,2,Proin magna. Praesent porttitor  nulla vitae posuere iaculis  arcu nisl digni,4-Sep,9-Sep,3,8,7,8,1,2,MR,9,0,11,135,12,10
137,MR-137,5,Vivamus quis mi. Donec id justo. Aenean commod,7-Sep,9-Sep,3,1,1,1,3,2,MR,9,1,11,137,12,6
139,MR-139,3,Vestibulum ante ipsum primis in faucibus orci luctus et ul,9-Sep,18-Sep,3,4,4,4,3,2,MR,9,1,11,139,12,6
141,MR-141,2,Sed a libero. Suspendisse faucibus  nunc et pellentesque eg,12-Sep,15-Sep,2,5,5,5,3,2,MR,9,0,13,141,12,10
143,MR-143,1,Ut leo. Praesent nonummy mi in odio. Praesent ac massa,13-Sep,21-Sep,2,7,6,7,2,2,MR,9,1,13,143,12,6
145,MR-145,5,Praesent egestas neque eu enim. Aenean,14-Sep,19-Sep,2,1,1,1,2,2,MR,9,0,13,145,12,10
147,MR-147,1,Nam adipiscing. Aenean viverra rhoncus pede. Nunc nonummy metus. Duis vel nibh at velit sceleris,16-Sep,23-Sep,2,4,4,4,1,2,MR,9,0,13,147,12,9
149,MR-149,5,Pellentesque dapibus hendrerit,18-Sep,26-Sep,2,8,7,8,1,2,MR,9,0,13,149,12,10
151,MR-151,4,Phasellus consectetuer vestibulum elit. Fusce egestas elit eget lorem,21-Sep,25-Sep,2,8,7,8,1,4,MR,9,1,13,151,13,7
153,MR-153,5,Donec venenatis vulputate lorem. Proin vi,22-Sep,1-Oct,2,3,3,3,2,4,MR,9,0,13,153,13,9
155,MR-155,4,Fusce commodo aliquam arcu. Phasellus blandit leo ut odio. Nulla sit amet,25-Sep,1-Oct,2,5,5,5,2,4,MR,9,0,13,155,13,7
157,MR-157,1,Nulla porta dolor. Praesent nec nisl a pu,27-Sep,3-Oct,2,3,3,3,1,4,MR,9,0,13,157,13,6
159,MR-159,2,Suspendisse pulvinar  augue ac venenatis condimentum  sem libero volutpat,28-Sep,2-Oct,2,10,9,10,2,4,MR,9,1,13,159,13,7
161,MR-161,1,Nunc interdum lacus sit amet orci. Aliquam lobortis. Vestibulum rutrum  mi n,1-Oct,10-Oct,2,5,5,5,3,4,MR,9,0,13,161,13,6
163,MR-163,3,Etiam feugiat lorem non metus.,3-Oct,8-Oct,2,5,5,5,2,4,MR,9,0,13,163,13,8
165,MR-165,2,Fusce risus nisl  viverra et  tem,4-Oct,14-Oct,2,8,7,8,3,3,MR,10,0,15,165,14,10
167,MR-167,5,Vestibulum dapibus nunc ac augue. Cura,7-Oct,12-Oct,2,8,7,8,3,3,MR,10,0,15,167,14,11
169,MR-169,3,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,9-Oct,10-Oct,2,3,3,3,1,3,MR,10,0,15,169,14,8
171,MR-171,5,Etiam rhoncus. Quisque id mi. Fusce pharetra co,12-Oct,15-Oct,2,2,2,2,2,3,MR,10,0,15,171,14,8
173,MR-173,5,Vivamus laoreet. Suspendisse potenti.,15-Oct,21-Oct,2,7,6,7,1,3,MR,10,0,15,173,14,12
175,MR-175,2,Vestibulum ante ipsum primis in faucibus orci luctus e,18-Oct,19-Oct,2,10,9,10,3,3,MR,10,0,15,175,14,12
177,MR-177,3,Praesent blandit laoreet nibh. Donec vitae orci sed dolor rutrum auctor. Donec,20-Oct,29-Oct,2,6,5,6,3,3,MR,10,1,15,177,14,9
179,MR-179,2,Donec mi odio  faucibus at  scelerisque quis  convalli,23-Oct,29-Oct,2,8,7,8,1,3,MR,10,0,15,179,14,12
181,MR-181,5,Sed augue ipsum  egestas nec  vestibulum et  malesuada adipiscing  dui. Phas,25-Oct,30-Oct,1,1,1,1,2,3,MR,10,1,15,181,14,12
183,MR-183,4,Suspendisse feugiat. Curabitur ullamcorper ultricies ni,28-Oct,5-Nov,1,8,7,8,2,3,MR,10,1,15,183,14,12
185,MR-185,1,Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas.,30-Oct,7-Nov,1,10,9,10,3,3,MR,10,1,15,185,14,9
187,MR-187,3,Ut leo. Suspendisse feugiat. Fusce convallis metu,31-Oct,9-Nov,1,5,5,5,2,3,MR,10,1,15,187,14,9
189,MR-189,5,Vestibulum rutrum  mi nec elementum vehicula  eros quam gravida nisl  id fringilla neque ante vel m,2-Nov,11-Nov,1,1,1,1,2,3,MR,10,0,15,189,14,9
191,MR-191,3,Duis leo. Morbi mollis tellus ac sapien. Nam ipsum risus  rutrum vitae  vestibulum eu  molestie,4-Nov,6-Nov,1,7,6,7,3,3,MR,10,0,15,191,14,8
193,MR-193,2,Vivamus laoreet. Donec quam felis  ultricies nec  pellentesque eu  pretium qu,7-Nov,17-Nov,1,1,1,1,2,3,MR,10,1,15,193,14,10
195,MR-195,1,Fusce commodo aliquam arcu. Phasellus,8-Nov,9-Nov,1,8,7,8,3,3,MR,10,0,15,195,14,8
197,MR-197,5,Curabitur suscipit suscipit tellus. Nullam accumsan lorem in,10-Nov,13-Nov,1,2,2,2,1,3,MR,10,1,15,197,14,12
